id,instruction_number,instruction
64d126d243,2,Heat 2 Tblsp.
64d126d243,3,oil in frying pan until hot.
64d126d243,4,Add onions; stir-fry until light brown; remove from pan; set aside.
64d126d243,5,Heat 2 more Tblsp.
64d126d243,6,oil in frying pan until hot.
64d126d243,7,Stir-fry meat mixture for 3 minutes.
64d126d243,8,Add onions and water.
64d126d243,9,Stir-fry 2 minutes more.
64d126d243,10,Serve hot.
64d15361cf,1,"Bring large pot of salted water to a boil, add pasta and cook al dente."
64d15361cf,2,"In large skillet, heat oil over moderate heat."
64d15361cf,3,Remove casting from sausage and add to skillet.
64d15361cf,4,"Cook breaking up the meat, until brown."
64d15361cf,5,Drain if necessary.
64d15361cf,6,"Add onions, garlic and red & chili pepper to and cook, stirring until garlic and onion are golden brown."
64d15361cf,7,Add tomatoes and salt; bring to a boil.
64d15361cf,8,Reduce heat and simmer 30 minute (cook longer to thicken).
64d15361cf,9,Add vodka and cream and bring to boil.
64d15361cf,10,"Reduce heat to low, simmer 30 more minute"
64d15361cf,11,Top plate of penne with cream sauce and add fresh parsley!
64d17b8c52,1,Combine all ingredients at least an hour before serving for best flavor.
64d17b8c52,2,Enjoy.
64d17f6002,1,"With 3/4 cup of the dark rum, pour over chopped fruit and nuts."
64d17f6002,2,Cover and let soak for at least 48 hours.
64d17f6002,3,The fruit should be stirred once a day or so.
64d17f6002,4,Keep remaining rum for after baking directions -- see below.
64d17f6002,5,"Stir flour, salt, baking soda and spices together Set aside."
64d17f6002,6,"In separate bowl, Cream shortening and brown sugar together till fluffy."
64d17f6002,7,Add eggs and beat one at a time.
64d17f6002,8,"Add molasses, jam and mix well."
64d17f6002,9,Blend in dry ingredients.
64d17f6002,10,Fold in fruit.
64d17f6002,11,Prepare your round fruit cake pan by oiling and line pan with paper.
64d17f6002,12,Oil and flour again lightly.
64d17f6002,13,Ensure the top of the paper is about 1 inch or so above the top of the pan.
64d17f6002,14,Fill prepared pans 2/3 full.
64d17f6002,15,Bake in a slow oven 300F for 2 hours or so.
64d17f6002,16,Place a shallow pan of hot water on the bottom rack of the oven during baking.
64d17f6002,17,This will ensure the cake stays moist.
64d17f6002,18,Remove this pan of water during the last hour of baking.
64d17f6002,19,Cool completely before removing paper.
64d17f6002,20,"Storing and mellowing of fruit Cake: Wrap a cheese cloth that has been soaked in the remaining 1/4 cup of rum over the cake, covering it completely."
64d17f6002,21,Next wrap the cake and cheesecloth in aluminum foil wrap.
64d17f6002,22,Place in a cool place.
64d17f6002,23,Taste of cake is best when stored for 4 weeks or so!
64d17f6002,24,"I've often brushed egg white over the cake, rolled out almond paste and laid it over the top and sides of cake."
64d17f6002,25,I then ice it.
64d17f6002,26,Everyone raves!
64d17f6002,27,NOTE: I've often doubled the recipe for a larger cake.
64d1bf4477,1,Cut Zucchini into sticks; about 3-4 inches in length and quartered.
64d1bf4477,2,Season zucchini sticks w salt and pepper.
64d1bf4477,3,Toss zucchini sticks in flour.
64d1bf4477,4,"Individually, dip zucchini stick in egg then in breadcrumb mix."
64d1bf4477,5,Cooking options:.
64d1bf4477,6,1) Deep fry in medium high heat until golden brown.
64d1bf4477,7,2) Oven bake in 425F for about 10 minutes.
64d1bf4477,8,"Check in about 8 mins, this entirely depends on how thick the sticks are and how well you like them cooked."
64d1bf4477,9,"Usually, once the breadcrumbs are gold brown the insides are cooked through."
64d1bf4477,10,"if yo want garlic,oregano and parmesan in the recipe add with the salt and paper step seasoning."
64d1bf4477,11,DIP: mix sour cream and ranch dressing.
64d1c1de26,1,Preheat oven to 350.
64d1c1de26,2,Mix all ingredients together using hands or potato masher.
64d1c1de26,3,If you prefer more seasoning you can add whatever you prefer.
64d1c1de26,4,Pat into a greased loaf pan.
64d1c1de26,5,Bake one hour at 350.
64d213612d,1,Break garlic bulb open and place in roasting pan.
64d213612d,2,Roast for 20 minutes or until soft.
64d213612d,3,Remove (let cool) and squeeze out garlic flesh.
64d213612d,4,Cook sweet potatoes and carrots in large pan of boiling water for 15 minutes until soft.
64d213612d,5,Drain and mash.
64d213612d,6,Mix this with the garlic.
64d213612d,7,"Add the leeks, feta cheese, Tabasco, cilantro & pepper to the sweet potato mixture."
64d213612d,8,Cover and let chill for at least 30 minutes.
64d213612d,9,Preheat oven to 375F Shape mixture into 8 small patties and place on baking sheet.
64d213612d,10,Bake for 15-20 minutes until hot.
64d213612d,11,Serve with ketchup!
64d28f6d99,1,"FOR THE MUSTARD SAUCE: Combine the onion and celery in a small saucepan and cook, covered, over low heat until the onion is translucent, adding a little water if necessary to prevent scorching."
64d28f6d99,2,Add the white wine and mustards and mix well.
64d28f6d99,3,Add the chicken stock and cook over medium heat for 2 minutes.
64d28f6d99,4,Stir in the parsley and remove from heat.
64d28f6d99,5,Pour the sauce into a bowl and set aside to cool.
64d28f6d99,6,"FOR THE BURGER: Combine the onion, thyme, and parsley in skillet and cook, covered over very low heat until the onion is translucent, adding a little water if necessary to prevent scorching."
64d28f6d99,7,"Remove from heat and spoon the onion mixture in a bowl., Add the ground chicken, pepper, Worcestershire sauce, and Tabasco sauce and mix well."
64d28f6d99,8,Divide the chicken mixture into 4 patties.
64d28f6d99,9,"Prepare the grill and grill the patties about 4 minutes per side, or until done."
64d28f6d99,10,TO SERVE: Place each chicken burger on a bun with a slice of tomato and a lettuce leaf.
64d28f6d99,11,Serve 2 tablespoons of mustard sauce per serving on the side.
64d2916348,1,"In a large skillet, heat the oil and garlic over medium heat."
64d2916348,2,"After a minute or two, when the garlic begins to sizzle, add the tomatoes and the beans."
64d2916348,3,"Bring it to a low boil and simmer it for 20 minutes, or until the pasta is ready."
64d2916348,4,"Meanwhile, cook the pasta according to package directions."
64d2916348,5,Add the basil to the tomato sauce about a minute before you drain the pasta.
64d2916348,6,Season the sauce with salt and pepper.
64d2916348,7,Drain the pasta and add it to the sauce or mix the pasta and sauce together in a large bowl.
64d2916348,8,Serve the pasta topped with Parmesan cheese.
64d2bf0dcb,1,Beat all ingredients together with a fork until light and fluffy.
64d2bf0dcb,2,Place on plastic wrap and roll into a log.
64d2bf0dcb,3,"Twist ends of plastic wrap to""seal"" butter inches."
64d2bf0dcb,4,"Store in freezer, and cut off discs of butter as needed."
64d2bf0dcb,5,"You can store this in the fridge, but beware it will not last as long if you use fresh ingredients."
64d2bf0dcb,6,"Try adding chives, rosemary, or tarragon."
64d2e0f7fa,1,Peel and mince garlic.
64d2e0f7fa,2,"Heat oil in skillet, and saute garlic and broccoli for 5 minutes, stirring."
64d2e0f7fa,3,"Add broth, basil, cheeses, and pepper."
64d2e0f7fa,4,Stir together over low heat for about 2 minutes.
64d2e0f7fa,5,Toss with 1 pound cooked pasta or rice.
64d32c273f,1,"Shake ingredients well and pour into a daiquiri glass, garnish with a stick of cinnamon wrapped with a lime peel."
64d35b5d2c,1,In a saucepan brown sausage and add green onions.
64d35b5d2c,2,Drain off excess grease.
64d35b5d2c,3,Stir in soup and water.
64d35b5d2c,4,"Heat until bubbling, stir occasionally."
64d35b5d2c,5,Pour into heated serving dish.
64d35b5d2c,6,Serve with vegetables or chips.
64d3724048,1,Preheat oven to 350 degrees.
64d3724048,2,"Make the cake: Butter three 9-inch round cake pans, and dust with flour, tapping out excess."
64d3724048,3,"Sift flour, granulated sugar, cocoa, baking soda, baking powder, and 1 1/2 teaspoons course salt into the bowl of a mixer."
64d3724048,4,Beat on low speed until just combined.
64d3724048,5,"Raise speed to medium, and add eggs, buttermilk, 1 1/2 cups warm water, oil, and vanilla."
64d3724048,6,"Beat until smooth, about 3 minutes."
64d3724048,7,Divide batter among pans.
64d3724048,8,"Bake until cakes are set and a toothpick inserted into the center of each comes out clean, about 35 minutes."
64d3724048,9,Let cool in pans set on a wire rack for 15 minutes.
64d3724048,10,"Turn out cakes onto racks, and let cool completely."
64d3724048,11,"Make the caramel: Combine granulated sugar, corn syrup, and 1/4 cup water in a medium saucepan over high heat."
64d3724048,12,"Cook, without stirring, until mixture is dark amber, about 14 minutes."
64d3724048,13,"Remove from heat, and carefully pour in cream (mixture will spatter); stir until smooth."
64d3724048,14,"Return to heat, and cook until a candy thermometer reaches 238 degrees, about 2 minutes."
64d3724048,15,"Pour caramel into a medium bowl, stir in 1 teaspoon coarse salt, and let cool slightly, about 15 minutes."
64d3724048,16,"Stir in butter, 1 tablespoon at a time."
64d3724048,17,Let cool completely.
64d3724048,18,"Meanwhile, make the frosting: Whisk together cocoa and 1/4 cup plus 2 tablespoons warm water in a bowl until cocoa dissolves."
64d3724048,19,"Beat butter, confectioners' sugar, and a generous pinch of coarse salt in a clean bowl with a mixer on medium speed until pale and fluffy."
64d3724048,20,Gradually beat in melted chocolate and then cocoa mixture until combined.
64d3724048,21,Let stand for 30 minutes before using.
64d3724048,22,Trim tops of cakes using a serrated knife to create a level surface.
64d3724048,23,Cut each in half horizontally to form 2 layers.
64d3724048,24,"Transfer 1 layer to a serving platter, and spread 3/4 cup caramel over top."
64d3724048,25,"Top with another cake layer, and repeat with remaining caramel and cake layers, leaving top uncovered."
64d3724048,26,"Refrigerate until set, about 1 hour."
64d3724048,27,Frost top and sides of cake in a swirling motion.
64d3782e29,1,For the cookies: Combine the butter and sugars in the bowl of stand mixer or hand-held electric mixer.
64d3782e29,2,"Beat on low speed to combine, then on high speed for 5 to 7 minutes, until light and fluffy."
64d3782e29,3,"Whisk together the flour, ground almonds and salt in a separate bowl."
64d3782e29,4,Add the vanilla and almond extracts to the butter-sugar mixture.
64d3782e29,5,"Beat on medium speed, then reduce the speed to low and gradually add the flour-almond mixture just until incorporated; do not overmix the dough."
64d3782e29,6,Wrap the dough in wax paper or place it in a large resealable plastic food storage bag and flatten it out.
64d3782e29,7,Refrigerate for 1 hour.
64d3782e29,8,"If the dough is chilled longer, let it sit at room temperature for 15 minutes before rolling it out."
64d3782e29,9,Preheat the oven to 350 degrees.
64d3782e29,10,Have 2 ungreased baking sheets at hand and a 3-inch-round cookie cutter.
64d3782e29,11,Lightly flour a work surface.
64d3782e29,12,Roll out the dough to thickness of 1/4 inch.
64d3782e29,13,"(You can do this in batches, keeping the unworked portion refrigerated.)"
64d3782e29,14,Use the 3-inch round cookie cutter for the cookies; repeat as needed to make 30 rounds of dough.
64d3782e29,15,The cookies will not spread so you can place them close together.
64d3782e29,16,Bake one sheet at a time in the middle of the oven for about 13 minutes.
64d3782e29,17,The cookies will not appear browned.
64d3782e29,18,"For a nuttier, browned butter flavor, bake the cookies for a few extra minutes; watch them carefully."
64d3782e29,19,Let cool on the baking sheet for about 15 minutes before transferring to a wire rack to cool completely.
64d3782e29,20,To assemble: Invert half of the cookies on the work surface.
64d3782e29,21,Spoon 2 tablespoons of the dulce de leche on each upturned cookie.
64d3782e29,22,"The filling will spread as it sits, but you can smooth it to the edges if it is very thick."
64d3782e29,23,Be gentle when spreading.
64d3782e29,24,Too much pressure on the delicate cookies will break them.
64d3782e29,25,Top with the remaining cookies to form cookie sandwiches.
64d3b3f1f9,1,Preheat oven to 350 degrees.
64d3b3f1f9,2,Heat oil in large fry pan.
64d3b3f1f9,3,Saute eggplant and onions until soft.
64d3b3f1f9,4,"While eggplant is cooking, grate cheese and assemble other ingredients."
64d3b3f1f9,5,"When cooked, combine with remaining ingredients (mixing thoroughly) and transfer to casserole dish."
64d3b3f1f9,6,Bake until golden and bubbling (about 45 minutes).
64d3c585eb,1,Heat oil.
64d3c585eb,2,"Add all spice, cloves and cinnamon sticks when it starts to sizzle add onions."
64d3c585eb,3,Braise until a nice golden brown colour.
64d3c585eb,4,(This is important as it gives and flavour and colour) .
64d3c585eb,5,"Add meat, salt, red chili and ginger and braise/simmer meat till dark brown and nearly tender about 35-40 minutes."
64d3c585eb,6,You can add sugar now if you want to brown meat quicker.
64d3c585eb,7,Adding water if necessary--only to prevent burning.
64d3c585eb,8,"Add sugar, water, carrots and potatoes and green chili if using."
64d3c585eb,9,"Cook over medium heat until meat is tender, vegetables are done and stew is blended about 20-30 minutes."
64d3c585eb,10,Check if salt is correct for you as carrots tend to draw out salt and adjust if it needs to be.
64d3c585eb,11,You may add a few handfuls of frozen peas if you wish.
64d3c585eb,12,Sprinkle nutmeg over stew before serving.
64d3c585eb,13,Serve hot with rice.
64d3d08a23,1,Spread desired amount of mayonnaise on each ciabatta's top and bottom.
64d3d08a23,2,"Layer the ciabatta bottoms with shredded lettuce, salt and peppered tomato slices, onion and pepper rings, mozzarella, basil leaves, the deli meats, and sliced olives."
64d3d08a23,3,(NOTE: You can mix-up the order of these ingredients to your liking.)
64d3d08a23,4,Drizzle with vinaigrette and sprinkle with red pepper flakes.
64d3d08a23,5,Cover with the ciabatta tops.
64d3d08a23,6,Cut the ciabatta sandwiches in half on the diagonal and wrap in plastic wrap or waxed paper.
64d3d08a23,7,Take a few books and set on top of the sandwiches to weigh them down and soak in the vinaigrette.
64d3d08a23,8,Unwrap and enjoy!
64d3d08a23,9,"ITALIAN VINAIGRETTE: 1/2 cup olive oil, 1/4 cup vinegar, 1 tablespoon sugar, 1/2 teaspoon garlic powder, 1/2 teaspoon Italian seasoning, 1/8 teaspoon coarse ground black pepper, and 1/8 teaspoon salt."
64d3d08a23,10,Mix all ingredients in medium bowl with wire whisk until well blended.
64d3d08a23,11,Cover.
64d3d08a23,12,Refrigerate until ready to serve.
64d3d08a23,13,Makes 6 (2-tablespoon) servings.
64d3d08a23,14,Prep Time: 5 minutes.
64d3f23bdb,1,Bring a large pot of lightly salted water to a boil and add tortellini.
64d3f23bdb,2,Meanwhile in a large skillet heat the oil over medium heat.
64d3f23bdb,3,"Add the onion and Italian seasoning mix, cooking for 6 minutes, stirring occasionally."
64d3f23bdb,4,Add the garlic and cook for 1 minute more.
64d3f23bdb,5,In a medium bowl whisk together the cornstarch and milk.
64d3f23bdb,6,"Whisk into pan with onions and cook until thickened, around 8 minutes."
64d3f23bdb,7,"Stir in the parmesan cheese, spinach, beans and 1/2 the tomatoes."
64d3f23bdb,8,Cook for 4 minutes.
64d3f23bdb,9,Drain tortellini and place in a serving bowl.
64d3f23bdb,10,Pour sauce on tortellini and top with remaining tomatoes.
64d3f23bdb,11,Serve.
64d41499b5,1,Shake Shake Shake over ice until frosty cold.
64d4354d0e,1,Mix try ingredients together.
64d4354d0e,2,"Blend in the moist ingredients, careful not to over stir."
64d4354d0e,3,"Batter can be stored in the fridge, covered (nonmetal bowl), for up to 6 weeks."
64d4354d0e,4,Fill muffin tins 2/3 full (we like to use an ice cream scoop).
64d4354d0e,5,Bake at 400 degrees for 20-25 minutes.
64d44b55b0,1,"For meatballs, combine milk, ground chuck, oats, onion and seasonings."
64d44b55b0,2,"Shape into balls and place in pan, one layer."
64d44b55b0,3,Combine sauce ingredients until dissolved and pour over meatballs.
64d44b55b0,4,Bake at 350 for 1 hour.
64d4766e30,1,Mix all ingredients thoroughly.
64d4766e30,2,"Rub Turkey Inside and Out and let sit refridgerated, preferably 24 hrs before frying."
64d48672f6,1,Heat oven to 400 degrees.
64d48672f6,2,Grease 8 or 9 in pan.
64d48672f6,3,Combine dry ingredients.
64d48672f6,4,"Stir in milk, oil and egg, mixing just until dry ingredients are moistened."
64d48672f6,5,Pour batter into prepared pan.
64d48672f6,6,Bake 20 to 25 minutes or until light golden brown and wooden pick inserted in center comes out clean.
64d487ff90,1,"Mix sugar and cocoa, set aside."
64d487ff90,2,Pour cream into medium saucepan.
64d487ff90,3,Add sugar and cocoa mixture.
64d487ff90,4,Stir and cook until boiling.
64d487ff90,5,Boil for a few minutes stirring constantly.
64d487ff90,6,Remove from heat and serve over warm biscuits.
64d49ace32,1,"Marinade: In a medium bowl, whisk soy sauce, ginger, canola oil, hoisin sauce, sesame oil, sriracha and salt to blend."
64d49ace32,2,"Transfer 3 tablespoons of the marinade to a baking dish, add chicken and turn to coat."
64d49ace32,3,"Cover and refrigerate at least 30 minutes, turning after 15 minutes."
64d49ace32,4,Dressing: Whisk vinegar and green onions into the remaining marinade.
64d49ace32,5,Set aside.
64d49ace32,6,Heat a grill pan over medium-high heat.
64d49ace32,7,"Remove chicken from marinade, add to grill pan, and cook about 4 minutes per side or until chicken shows no sign of pink when pierced in the thickest part with the tip of a small sharp knife."
64d49ace32,8,Transfer to a cutting board and let rest 15 minutes.
64d49ace32,9,Cut chicken crosswise into 1/4-inch-thick slices.
64d49ace32,10,"For the Salad: In a large bowl, toss chicken, cabbage, carrots, green onions, cilantro and half of the almonds with enough dressing to coat lightly."
64d49ace32,11,Mound salad in center of 4 plates.
64d49ace32,12,Re-whisk dressing and drizzle a little over and around salad.
64d49ace32,13,Sprinkle with the remaining almonds and sesame seeds.
64d4b7aa4a,1,Preheat oven to 400&#730;F.
64d4b7aa4a,2,"Place parsley, spinach, ginger, garlic, nuts, lemon zest and juice, salt and pepper in food processor and turn processor on."
64d4b7aa4a,3,Stream about 1/3 cup EVOO into processor to form a pesto sauce.
64d4b7aa4a,4,"Drizzle the pumpkin cubes with 2 tablespoons EVOO and season with salt, pepper, paprika and nutmeg."
64d4b7aa4a,5,"Roast 15 minutes, turn the cubes over and roast 15 minutes more."
64d4b7aa4a,6,"Meanwhile, bring water to boil for pasta, salt it and cook to al dente, according to package directions."
64d4b7aa4a,7,Reserve 1 cup of the starchy water just before draining.
64d4b7aa4a,8,"Drain pasta, return to hot pot, add reserved water and pesto, and toss to coat."
64d4b7aa4a,9,"Gently mix in the roasted pumpkin cubes and serve topped with lots of cheese and some pumpkin seeds, if desired."
64d4c87b2a,1,Melt butter in 2 quart (non-stick) sauce pan or larger.
64d4c87b2a,2,Shred dried beef by hand into small pieces.
64d4c87b2a,3,Add dried beef to melted butter and cook over medium-high heat until edges curl (about 10 minutes but watch carefully-don't burn it).
64d4c87b2a,4,Stir in flour and mix thoroughly.
64d4c87b2a,5,"Add milk, reduce heat to medium low and continue stirring frequently until mixture is smooth & bubbly."
64d4c87b2a,6,"(Depending on how thick you like it, it may take from 20 minutes to 1 hours to achieve desired consistency)."
64d4c87b2a,7,"When it's as thick as you'd like, bring to a boil, stirring constantly and boil 1 minute."
64d4c87b2a,8,Remove from heat and serve over toast and/or home fried potatoes.
64d4d6e802,1,Butterfly shrimp by cutting down through the back most of the way through the shrimp.
64d4d6e802,2,"Devein and press to flatten, cut side up, on a cookie sheet or large shallow baking pan."
64d4d6e802,3,Press with paper towels to remove excess moisture.
64d4d6e802,4,"Combine muffin crumbs, nuts, and crabmeat in a medium bowl, and set aside."
64d4d6e802,5,Saute onions and garlic in olive oil over medium heat until softened.
64d4d6e802,6,"Add parsley, jalapeno peppers, capers, and Worcestershire sauce."
64d4d6e802,7,"Reduce heat; add lemon juice, cream cheese, and feta cheese."
64d4d6e802,8,"Mix thoroughly, allowing to heat just until cheese is smooth and mixed with vegetables."
64d4d6e802,9,"Remove from heat, and add to crumb mixture."
64d4d6e802,10,Toss together gently until thoroughly combined.
64d4d6e802,11,Season to taste with salt and freshly ground pepper.
64d4d6e802,12,"Place 2-3 Tbsp of cheese mixture on top of each shrimp, molding and smoothing to cover."
64d4d6e802,13,Place in freezer for about 30 minutes to firm.
64d4d6e802,14,"If deep frying battered shrimp, preheat oven to 250 degrees F."
64d4d6e802,15,"Make batter by beating together egg and beer, wine, or water; if using beer, beat a little extra to reduce foam."
64d4d6e802,16,"Add all remaining ingredients, and mix just until dry ingredients are combined with the liquid."
64d4d6e802,17,Let batter rest about 5-10 minutes.
64d4d6e802,18,"Heat about 2"" of oil to 375 degrees F in a large saucepan or deep fryer."
64d4d6e802,19,"Dip prepared shrimp in batter one at a time, holding by tail, allowing excess batter to drain from shrimp before placing in hot oil."
64d4d6e802,20,"Cook 4-6 at a time until browned, turning once."
64d4d6e802,21,Remove to a pan lined with paper towels and keep warm in the oven while cooking remaining shrimp.
64d4d6e802,22,Allow oil to return to 375 degrees F before cooking each batch.
64d4d6e802,23,"Serve immediately with lemon wedges, tartar sauce, and/or cocktail sauce if desired."
64d4d6e802,24,"If baking breaded shrimp, preheat oven to 350 degrees F."
64d4d6e802,25,Lightly oil baking sheet and sprinkle lightly with breadcrumbs.
64d4d6e802,26,"If breading, brush tops of prepared shrimp lightly with egg-wash."
64d4d6e802,27,"Press breadcrumbs onto surface until they adhere, and place on baking sheet."
64d4d6e802,28,"After all shrimp are coated, sprinkle with paprika and drizzle with melted butter."
64d4d6e802,29,Bake for about 25 minutes or until lightly browned.
64d4d6e802,30,"Drizzle with fresh lemon juice, if desired."
64d4d6e802,31,"If serving naked, sprinkle prepared shrimp lightly with paprika, and bake as above, until lightly browned and bubbly."
64d4d6e802,32,"Naked shrimp can also be cooked on the barbecue, over low to medium coals."
64d4d6e802,33,"Place on oiled grate, cheese side up."
64d4d6e802,34,Do not turn unless you love the taste and smell of burning cheese.
64d4d6e802,35,"Cook, covered for about 10 minutes."
64d4d6e802,36,Drizzle with fresh lemon juice if desired.
64d500584f,1,Peel and slice garlic cloves.
64d500584f,2,"Cut chicken into pieces, or use thighs."
64d500584f,3,"Put in large bowl with bay leaves, thyme, and garlic."
64d500584f,4,Pour enough wine over chicken to cover.
64d500584f,5,Cover with plastic wrap and marinate in refrigerator overnight.
64d500584f,6,Dice bacon.
64d500584f,7,Fry until crisp.
64d500584f,8,Remove to paper towel.
64d500584f,9,"Saute mushrooms in bacon drippings, adding oil or butter if needed, until they begin to brown."
64d500584f,10,"Remove chicken from marinade, reserving marinade."
64d500584f,11,Pat chicken dry with paper towel.
64d500584f,12,"Brown chicken pieces in oil or butter, on all sides."
64d500584f,13,Peel and slice carrots into 1/2 inch pieces.
64d500584f,14,Put onions and carrots in bottom of crock pot.
64d500584f,15,"Add chicken, mushrooms and bacon ."
64d500584f,16,Stir tomato paste into 2 cups of wine marinade (with garlic pieces and bay leaves) and pour over all.
64d500584f,17,Discard remaining marinade.
64d500584f,18,Cover and cook on low setting 6 hours.
64d500584f,19,Remove chicken to platter and keep warm.
64d500584f,20,Stir cornstarch into 1/4 cup water and add to sauce.
64d500584f,21,Turn to high and cook until thickened.
64d500584f,22,"(You may want to use more cornstarch, depending on how thick you want gravy.)"
64d500584f,23,Stir in salt and pepper to taste.
64d500584f,24,Return chicken to pot and serve with mashed potatoes or rice.
64d516eb38,1,"Cook pasta according to package directions, adding eggplant and zucchini the last 2 minutes of cooking; drain."
64d516eb38,2,Return to saucepan; cover and keep warm.
64d516eb38,3,"Meanwhile, for sauce: In a large skillet cook ground meat until brown."
64d516eb38,4,Drain off fat.
64d516eb38,5,"Stir in tomatoes, raisins, basil, and cinnamon."
64d516eb38,6,Bring to a boil; reduce heat.
64d516eb38,7,"Cover and simmer for 5 minutes, stirring once or twice."
64d516eb38,8,Remove from heat; stir in vinegar.
64d516eb38,9,Transfer pasta mixture to a warm serving platter.
64d516eb38,10,Spoon the sauce over pasta mixture.
64d516eb38,11,"If desired, sprinkle with feta cheese."
64d5629c1c,1,Heat oven to 375 degrees.
64d5629c1c,2,Butter a 13 by 9 inch or 3 quart casserole dish.
64d5629c1c,3,"Remove crust from bread, cut into 1/2 inch cubes, and place in bowls."
64d5629c1c,4,Melt 2 tablespoons butter over medium heat.
64d5629c1c,5,Pour melted butter over bread and toss to coat.
64d5629c1c,6,Put bread cubes into a food processor and process until fine crumbs form.
64d5629c1c,7,Set bread crumbs aside.
64d5629c1c,8,"In a medium saucepan over medium heat, heat milk, cream and apple cider until hot."
64d5629c1c,9,"While milk mixture is heating, melt remaining 4 tablespoons butter in a large high-sided skillet over medium heat."
64d5629c1c,10,"When butter is melted and bubbling, add flour."
64d5629c1c,11,Cook stirring for 1 minute.
64d5629c1c,12,Pour hot milk mixture slowly into skillet with flour-butter mixture whisking constantly.
64d5629c1c,13,Continue cooking and whisking over medium heat until sauce bubbles and becomes thick.
64d5629c1c,14,"Remove from heat and stir in 1/2 teaspoon salt, pepper, nutmeg, cayenne pepper, mustard, 2 1/2 cups cheddar and 1/2 cup gruyere."
64d5629c1c,15,Combine and set aside.
64d5629c1c,16,Fill a large saucepan with 3 to 4 quarts of water add remaining 2 tablespoons salt and bring to boil.
64d5629c1c,17,Add pasta and cook slightly less than what the package calls for.
64d5629c1c,18,Pasta should be slightly underdone.
64d5629c1c,19,Pour pasta into colander and rinse under cold water draining well.
64d5629c1c,20,Stir pasta into cheese sauce and transfer to prepared casserole dish.
64d5629c1c,21,Sprinkle remaining 1 1/2 cups cheese over pasta and spread bread crumbs on top to cover.
64d5629c1c,22,Bake for about 30 minutes or until golden brown on top.
