id,title,url,calories,fat_cals,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrates,fiber,sugar,protein,serving_size,servings_per_recipe,fat_per100g,salt_per100g,saturates_per100g,sugar_per100g
64d28f6d99,Chicken Burger With Three Mustard Sauce,http://www.food.com/recipe/chicken-burger-with-three-mustard-sauce-413328,301.3,51.0,5.8,1.4,0.0747,0.445,30.3,3.4,7.5,30.7,361,4,1.6066481994459834,0.12326869806094183,0.38781163434903043,2.0775623268698062
64d2916348,Butterfly Pasta With Cannellini Beans,http://www.food.com/recipe/butterfly-pasta-with-cannellini-beans-489699,349.8,45.0,5.0,0.8,0.0,0.4604,62.3,8.6,5.9,14.0,272,8,1.8382352941176472,0.16926470588235293,0.29411764705882354,2.169117647058824
64d2bf0dcb,Garlic Herb Butter,http://www.food.com/recipe/garlic-herb-butter-23227,418.6,415.0,46.2,29.2,0.1221,0.4074,2.6,0.9,0.1,1.1,67,1,68.95522388059702,0.6080597014925373,43.582089552238806,0.1492537313432836
64d2e0f7fa,Cheesy Broccoli,http://www.food.com/recipe/cheesy-broccoli-447133,510.8,94.0,10.5,2.9,0.0129,0.5267000000000001,78.5,6.4,5.3,26.0,328,5,3.201219512195122,0.16057926829268293,0.8841463414634145,1.6158536585365855
64d32c273f,Almond Cigar,http://www.food.com/recipe/almond-cigar-373804,139.1,0.0,0.0,0.0,0.0,0.0011,2.4,0.1,0.5,0.1,86,1,0.0,0.0012790697674418606,0.0,0.5813953488372093
64d35b5d2c,Hot Cheese and Sausage Dip,http://www.food.com/recipe/hot-cheese-and-sausage-dip-4390,183.3,125.0,13.9,6.5,0.0384,0.7232000000000001,7.0,0.8,0.7,7.7,144,4,9.652777777777779,0.5022222222222223,4.513888888888888,0.4861111111111111
64d3724048,6 Layer Chocolate Cake,http://www.food.com/recipe/6-layer-chocolate-cake-499535,2025.0,1054.0,117.2,64.9,0.2984,0.6775,258.8,17.0,188.3,22.3,351,8,33.390313390313395,0.19301994301994302,18.490028490028493,53.64672364672365
64d3782e29,Alfajores,http://www.food.com/recipe/alfajores-403173,304.0,177.0,19.7,11.8,0.048799999999999996,0.0419,29.2,0.9,9.7,3.2,897,1,2.1962095875139354,0.0046711259754738015,1.3154960981047938,1.0813823857302116
64d3b3f1f9,Eggplant (Aubergine) Casserole #2,http://www.food.com/recipe/eggplant-aubergine-casserole-2-96260,248.7,169.0,18.9,9.2,0.111,0.29560000000000003,6.8,1.7,4.2,13.5,161,6,11.739130434782608,0.1836024844720497,5.714285714285714,2.608695652173913
64d3c585eb,Lamb and Carrot Stew (Bredie),http://www.food.com/recipe/lamb-and-carrot-stew-bredie-194234,452.4,192.0,21.4,8.0,0.096,0.5071,35.6,5.6,6.8,29.4,287,6,7.456445993031359,0.17668989547038327,2.7874564459930316,2.3693379790940763
64d3d08a23,Ciabatta Deli Sandwiches: a Hearty Italian-Style Sandwich,http://www.food.com/recipe/ciabatta-deli-sandwiches-a-hearty-italian-style-sandwich-359909,261.9,160.0,17.9,9.6,0.056,0.5977,9.4,2.4,4.3,17.1,234,4,7.649572649572649,0.25542735042735043,4.102564102564102,1.8376068376068377
64d3f23bdb,Tortellini Tuscany Style,http://www.food.com/recipe/tortellini-tuscany-style-56890,747.3,212.0,23.6,10.1,0.0727,0.6824,99.2,13.1,6.2,38.2,472,4,5.0,0.14457627118644067,2.139830508474576,1.3135593220338984
64d41499b5,Sake Tini,http://www.food.com/recipe/sake-tini-392408,273.0,0.0,0.0,0.0,0.0,0.0040999999999999995,10.2,0.0,0.0,1.0,225,1,0.0,0.001822222222222222,0.0,0.0
64d4354d0e,Fiber-Licious Six Week Muffins (Raisin Bran & Flax),http://www.food.com/recipe/fiber-licious-six-week-muffins-raisin-bran-flax-310523,447.8,156.0,17.4,2.3,0.036899999999999995,0.4942,68.8,7.1,36.4,10.2,79,24,22.0253164556962,0.6255696202531645,2.911392405063291,46.075949367088604
64d44b55b0,Fantastic Sweet and Sour Barbecue Meatballs,http://www.food.com/recipe/fantastic-sweet-and-sour-barbecue-meatballs-145736,774.0,193.0,21.5,8.6,0.1789,1.8213,105.4,2.9,81.8,43.1,352,8,6.107954545454546,0.5174147727272727,2.443181818181818,23.238636363636363
64d4766e30,Deep Fried Turkey Rub,http://www.food.com/recipe/deep-fried-turkey-rub-273717,159.5,28.0,3.2,0.7,0.0,14.431,34.2,12.2,3.6,7.3,90,2,3.5555555555555554,16.034444444444443,0.7777777777777778,4.0
64d48672f6,Easy Cornbread,http://www.food.com/recipe/easy-cornbread-225295,499.2,176.0,19.6,4.1,0.1143,0.2554,69.4,2.9,12.9,11.8,123,4,15.934959349593496,0.20764227642276425,3.3333333333333335,10.487804878048781
64d487ff90,Chocolate Gravy,http://www.food.com/recipe/chocolate-gravy-353100,365.4,201.0,22.4,13.7,0.0815,0.023,41.4,0.8,37.5,2.0,67,4,33.43283582089552,0.034328358208955224,20.44776119402985,55.970149253731336
64d49ace32,Grilled Ginger-Sesame Chicken Salad,http://www.food.com/recipe/grilled-ginger-sesame-chicken-salad-501431,419.6,224.0,24.9,2.7,0.0819,1.2817,16.8,4.9,6.5,33.3,365,4,6.821917808219177,0.35115068493150686,0.7397260273972603,1.7808219178082192
64d4b7aa4a,Roasted Pumpkin Penne With Autumn Pesto,http://www.food.com/recipe/roasted-pumpkin-penne-with-autumn-pesto-395503,807.9,350.0,39.0,6.5,0.0072,0.196,101.0,12.2,3.0,25.2,358,4,10.893854748603351,0.054748603351955305,1.8156424581005588,0.8379888268156425
64d4c87b2a,""" The"" Creamed Dried Beef/Chipped Beef Recipe",http://www.food.com/recipe/the-creamed-dried-beef-chipped-beef-recipe-163238,540.6,290.0,32.2,20.0,0.1357,1.8897,35.4,0.8,1.6,28.1,330,4,9.757575757575758,0.5726363636363636,6.0606060606060606,0.48484848484848486
64d4d6e802,Stuffed Jumbo Shrimp,http://www.food.com/recipe/stuffed-jumbo-shrimp-88746,1110.7,595.0,66.2,32.8,0.5167999999999999,1.739,63.0,5.0,5.0,62.5,570,4,11.614035087719298,0.30508771929824563,5.75438596491228,0.8771929824561403
64d500584f,Crock Pot Coq Au Vin,http://www.food.com/recipe/crock-pot-coq-au-vin-155658,1594.9,847.0,94.2,28.1,0.3788,0.8611,20.0,1.8,5.4,93.7,978,4,9.631901840490798,0.08804703476482617,2.8732106339468304,0.5521472392638037
64d516eb38,Mediterranean Mostaccioli,http://www.food.com/recipe/mediterranean-mostaccioli-189037,341.2,60.0,6.7,2.5,0.0371,0.0496,52.6,5.3,14.2,19.1,296,4,2.2635135135135136,0.01675675675675676,0.8445945945945946,4.7972972972972965
64d5629c1c,Apple White Cheddar and Gruyere Macaroni & Cheese,http://www.food.com/recipe/apple-white-cheddar-and-gruyere-macaroni-cheese-279886,1360.4,472.0,52.5,31.0,0.1579,2.6612,169.8,7.5,3.8,49.9,445,8,11.797752808988763,0.5980224719101124,6.96629213483146,0.8539325842696628
64d57fc480,Tandoori Masala (Spice Mix),http://www.food.com/recipe/tandoori-masala-spice-mix-333539,401.5,159.0,17.7,3.0,0.0,0.09509999999999999,70.0,32.3,2.4,16.0,42,1,42.142857142857146,0.2264285714285714,7.142857142857142,5.714285714285714
64d58e7c51,Very Special Tofu Sour Cream,http://www.food.com/recipe/very-special-tofu-sour-cream-243214,70.9,42.0,4.7,0.7,0.0,0.0251,2.0,0.2,0.9,4.9,77,5,6.103896103896104,0.0325974025974026,0.9090909090909091,1.1688311688311688
64d5a61162,Dreamy Honey-Lemon Nuggets,http://www.food.com/recipe/dreamy-honey-lemon-nuggets-306211,417.2,201.0,22.4,8.7,0.1353,0.8068,25.8,0.6,13.2,27.5,174,5,12.873563218390805,0.46367816091954017,5.0,7.586206896551724
64d5aadbf2,Chicken Tetrazzini OAMC,http://www.food.com/recipe/chicken-tetrazzini-oamc-275805,421.4,163.0,18.2,10.1,0.0846,0.3281,32.9,1.8,2.5,30.2,208,8,8.75,0.15774038461538462,4.855769230769231,1.201923076923077
64d5d0f674,Mediterranean Tzatziki,http://www.food.com/recipe/mediterranean-tzatziki-293886,77.7,2.0,0.3,0.1,0.0021000000000000003,1.2565,12.6,1.1,8.8,6.7,168,1,0.17857142857142858,0.7479166666666666,0.05952380952380953,5.238095238095238
64d5d2b6af,Honey Sand Balls,http://www.food.com/recipe/honey-sand-balls-146076,871.2,548.0,61.0,30.6,0.122,0.4746,74.5,3.2,24.2,10.3,673,1,9.063893016344725,0.07052005943536405,4.5468053491827645,3.5958395245170873
64d5dbb56c,Chipotle Dip,http://www.food.com/recipe/chipotle-dip-427080,714.8,570.0,63.4,20.8,0.08120000000000001,0.9014,35.4,0.8,8.5,5.3,290,1,21.86206896551724,0.31082758620689654,7.1724137931034475,2.9310344827586206
64d5e4f6cd,Hamantaschen,http://www.food.com/recipe/hamantaschen-54855,71.8,1.0,0.1,0.0,0.0,0.0644,16.1,0.4,6.3,1.5,25,16,0.4,0.2576,0.0,25.2
64d5eb2603,Uncle Matt's Sloppy Joes,http://www.food.com/recipe/uncle-matts-sloppy-joes-360416,467.3,205.0,22.8,7.8,0.07709999999999999,0.7361,38.2,2.4,13.4,26.7,271,4,8.413284132841328,0.2716236162361624,2.878228782287823,4.9446494464944655
64d61aa227,Chicken Noodle Soup,http://www.food.com/recipe/chicken-noodle-soup-406873,114.9,35.0,4.0,1.1,0.0436,0.49839999999999995,4.6,0.4,0.8,14.2,305,8,1.3114754098360655,0.16340983606557374,0.3606557377049181,0.26229508196721313
64d641b04d,Ooey Gooey Brownies,http://www.food.com/recipe/ooey-gooey-brownies-45228,229.4,112.0,12.5,4.9,0.0104,0.2223,29.9,1.6,21.1,2.6,1595,1,0.7836990595611284,0.01393730407523511,0.30721003134796243,1.322884012539185
64d6478eba,Prosciutto Wrapped Shrimp Risotto,http://www.food.com/recipe/prosciutto-wrapped-shrimp-risotto-364031,1065.8,342.0,38.1,17.7,0.12190000000000001,1.656,146.6,5.4,12.1,30.4,438,2,8.698630136986301,0.3780821917808219,4.041095890410959,2.7625570776255706
64d674cda9,Dasha's Meatballs,http://www.food.com/recipe/dashas-meatballs-263669,543.2,247.0,27.6,10.2,0.2179,1.5648,20.5,2.2,13.3,50.8,505,6,5.465346534653466,0.30986138613861386,2.0198019801980194,2.633663366336634
64d677e1ec,Red Onion and Port Wine Confit,http://www.food.com/recipe/red-onion-and-port-wine-confit-357619,330.2,144.0,16.1,5.1,0.015300000000000001,0.0517,40.3,3.1,26.1,1.7,214,4,7.5233644859813085,0.0241588785046729,2.3831775700934577,12.19626168224299
64d6949d28,Roy Rogers,http://www.food.com/recipe/roy-rogers-392810,72.1,0.0,0.0,0.0,0.0,0.0070999999999999995,18.6,0.2,17.4,0.1,175,1,0.0,0.004057142857142857,0.0,9.942857142857143
64d698dce2,Easy Pot Roast,http://www.food.com/recipe/easy-pot-roast-11760,744.7,287.0,31.9,13.4,0.2994,1.592,17.2,1.5,3.8,98.3,413,4,7.723970944309927,0.3854721549636804,3.2445520581113803,0.9200968523002421
64d6a2c43f,Red Beans and Rice,http://www.food.com/recipe/red-beans-and-rice-350422,370.8,78.0,8.7,2.8,0.027800000000000002,1.2294,54.1,6.0,1.9,18.4,540,8,1.6111111111111112,0.22766666666666668,0.5185185185185185,0.35185185185185186
64d6ae0666,Hash Browns Potato Casserole,http://www.food.com/recipe/hash-browns-potato-casserole-46605,640.6,433.0,48.2,26.5,0.0885,0.5965,42.5,2.6,3.5,13.9,274,8,17.59124087591241,0.2177007299270073,9.67153284671533,1.2773722627737227
64d6cce586,Eggs and Pasta Alla Sheepie,http://www.food.com/recipe/eggs-and-pasta-alla-sheepie-203308,486.1,186.0,20.7,9.3,0.4527,0.31939999999999996,45.3,2.9,1.7,28.0,273,1,7.582417582417582,0.11699633699633698,3.406593406593407,0.6227106227106227
64d73c0a16,Fajita Stir Fry,http://www.food.com/recipe/fajita-stir-fry-276441,98.1,64.0,7.2,0.9,0.0,0.0054,8.2,1.7,3.5,1.1,111,4,6.486486486486487,0.0048648648648648655,0.8108108108108109,3.153153153153153
64d7490fe1,Barbecued Lemon Garlic Chicken,http://www.food.com/recipe/barbecued-lemon-garlic-chicken-308035,495.9,332.0,37.0,9.1,0.138,0.9055,5.9,1.2,1.1,34.7,240,6,15.416666666666668,0.37729166666666664,3.791666666666667,0.4583333333333333
64d78c7d6b,Celery Root Remoulade,http://www.food.com/recipe/celery-root-remoulade-276552,65.1,61.0,6.8,0.9,0.0,1.0232,1.1,0.1,0.4,0.1,54,4,12.592592592592592,1.8948148148148152,1.6666666666666667,0.7407407407407408
64d7ea632d,Cheeseburger Quiche,http://www.food.com/recipe/cheeseburger-quiche-438043,220.9,60.0,6.7,3.1,0.0593,0.24830000000000002,7.6,0.8,2.6,31.0,229,6,2.925764192139738,0.10842794759825328,1.3537117903930131,1.1353711790393013
64d7ecf132,Simple Halibut Croquettes,http://www.food.com/recipe/simple-halibut-croquettes-387477,171.2,109.0,12.2,7.0,0.1005,0.6211,7.3,0.4,0.9,8.1,55,6,22.18181818181818,1.1292727272727272,12.727272727272727,1.6363636363636365
64d7f5e06b,Souper Chicken Tetrazzini,http://www.food.com/recipe/souper-chicken-tetrazzini-156222,321.1,128.0,14.3,5.7,0.0555,0.6538999999999999,26.1,1.2,2.8,21.5,273,4,5.238095238095238,0.23952380952380947,2.087912087912088,1.0256410256410255
64d83c456f,Butternut Squash Ravioli With Hazelnut Sauce,http://www.food.com/recipe/butternut-squash-ravioli-with-hazelnut-sauce-206180,274.1,180.0,20.1,9.0,0.0357,0.1928,19.8,2.5,4.8,6.0,120,6,16.75,0.16066666666666665,7.5,4.0
64d887f15b,Potatoes and Onions (Dutch Recipe),http://www.food.com/recipe/potatoes-and-onions-dutch-recipe-422827,301.1,37.0,4.2,2.5,0.010199999999999999,0.054700000000000006,58.1,7.2,4.6,6.8,289,6,1.453287197231834,0.01892733564013841,0.8650519031141869,1.5916955017301035
64d8f313cc,The Floridian,http://www.food.com/recipe/the-floridian-227717,270.4,130.0,14.5,2.8,0.1061,0.25680000000000003,2.0,0.1,0.8,31.5,155,4,9.35483870967742,0.16567741935483873,1.8064516129032255,0.5161290322580645
64d8f3adeb,Spooky Eyeballs,http://www.food.com/recipe/spooky-eyeballs-466902,21.6,0.0,0.0,0.0,0.0,0.0273,5.1,0.0,4.9,0.4,1000,1,0.0,0.0027300000000000002,0.0,0.49000000000000005
64d90aea30,Cashew Filled Phyllo Cigars,http://www.food.com/recipe/cashew-filled-phyllo-cigars-116473,149.9,92.0,10.2,2.6,0.0050999999999999995,0.1512,12.0,0.6,0.4,2.9,37,6,27.567567567567565,0.4086486486486487,7.027027027027027,1.0810810810810811
64d92faee1,Individual 4 Pepper Chicken Cups,http://www.food.com/recipe/individual-4-pepper-chicken-cups-204008,1353.8,823.0,91.5,41.1,0.1551,2.6047,96.9,6.8,13.1,38.2,432,4,21.180555555555554,0.6029398148148147,9.51388888888889,3.0324074074074074
64d93da20e,Coconut-Chip Coffee Cake,http://www.food.com/recipe/coconut-chip-coffee-cake-251853,276.3,126.0,14.1,6.2,0.0371,0.393,34.6,1.3,18.9,4.4,82,9,17.195121951219512,0.4792682926829268,7.560975609756097,23.048780487804876
64d962bc32,Spicy Lemon and Paprika Aioli,http://www.food.com/recipe/spicy-lemon-and-paprika-aioli-60489,834.8,608.0,67.6,9.9,0.052399999999999995,1.5439,61.2,1.8,16.5,3.6,167,1,40.47904191616766,0.924491017964072,5.928143712574851,9.880239520958083
64d9b89e63,Tequila Mockingbird,http://www.food.com/recipe/tequila-mockingbird-35869,43.3,1.0,0.1,0.0,0.0,0.0012,10.3,0.1,8.6,0.4,90,1,0.1111111111111111,0.001333333333333333,0.0,9.555555555555555
64d9bb8677,Basic Skillet Black Beans,http://www.food.com/recipe/basic-skillet-black-beans-498120,234.3,29.0,3.3,0.5,0.0,0.3932,40.6,13.4,4.5,13.2,256,4,1.2890625,0.15359375,0.1953125,1.7578125
64d9e397bd,Crock Pot Cornbread Dressing,http://www.food.com/recipe/crock-pot-cornbread-dressing-25243,151.2,67.0,7.5,2.1,0.06609999999999999,0.9877999999999999,13.6,0.7,1.8,6.7,176,12,4.261363636363636,0.5612499999999999,1.1931818181818183,1.0227272727272727
64da0f1b8b,Garlic Chili Chicken With Cardamom Rice,http://www.food.com/recipe/garlic-chili-chicken-with-cardamom-rice-485974,857.2,293.0,32.6,8.7,0.1579,0.21409999999999998,97.0,9.6,13.3,45.8,697,2,4.677187948350072,0.030717360114777614,1.2482065997130558,1.9081779053084649
64da3551e5,Barbecued Spareribs,http://www.food.com/recipe/barbecued-spareribs-369383,570.1,404.0,44.9,16.9,0.1477,1.1111,5.0,0.4,2.5,34.3,214,6,20.981308411214954,0.5192056074766355,7.897196261682242,1.1682242990654206
64da486ec9,Beef Stroganoff,http://www.food.com/recipe/beef-stroganoff-417380,471.7,191.0,21.2,9.1,0.1212,0.8279,19.6,0.8,3.0,48.6,190,6,11.157894736842106,0.43573684210526314,4.789473684210526,1.5789473684210527
64da5039f5,"Winter Squash, Onion and Gruyere Quiche",http://www.food.com/recipe/winter-squash-onion-and-gruyere-quiche-442940,421.3,238.0,26.6,9.1,0.2338,0.6653,30.3,3.0,1.3,15.9,138,4,19.275362318840582,0.4821014492753623,6.594202898550725,0.9420289855072465
64da57da76,Kfc Gravy --From the Website,http://www.food.com/recipe/kfc-gravy-from-the-website-372975,145.6,69.0,7.7,2.3,0.0045,1.017,13.6,0.6,1.6,5.8,229,4,3.3624454148471616,0.4441048034934498,1.0043668122270741,0.6986899563318777
64da94445a,Super Easy Chicken Enchiladas,http://www.food.com/recipe/super-easy-chicken-enchiladas-508523,887.4,348.0,38.7,16.6,0.1119,2.5195,91.2,6.3,7.7,43.0,269,3,14.38661710037175,0.9366171003717472,6.17100371747212,2.862453531598513
64dad6f909,Ramen Noodle Frittata,http://www.food.com/recipe/ramen-noodle-frittata-192173,376.6,191.0,21.3,9.8,0.3371,0.6995,28.6,0.0,0.7,16.9,133,4,16.015037593984964,0.5259398496240602,7.36842105263158,0.5263157894736842
64dadbf093,Cranberry Almond Muffins,http://www.food.com/recipe/cranberry-almond-muffins-154345,310.4,131.0,14.6,6.3,0.0745,0.30160000000000003,39.7,1.8,19.7,6.4,97,8,15.051546391752577,0.3109278350515464,6.494845360824741,20.309278350515463
64db1d90bc,A Darn Good Peanut Sauce,http://www.food.com/recipe/a-darn-good-peanut-sauce-312073,849.9,583.0,64.8,10.5,0.0,2.6475,46.7,11.6,25.1,35.6,317,1,20.441640378548893,0.835173501577287,3.3123028391167195,7.917981072555206
64db3d304e,Oaty Choc Chunk Cookies,http://www.food.com/recipe/oaty-choc-chunk-cookies-313281,148.9,72.0,8.0,4.8,0.0161,0.0596,18.9,0.9,10.4,1.7,1025,1,0.7804878048780488,0.005814634146341463,0.46829268292682924,1.0146341463414634
64db52cba6,My Lubia Chala With Kefta,http://www.food.com/recipe/my-lubia-chala-with-kefta-134474,256.1,107.0,12.0,4.7,0.0737,0.6682,12.4,4.3,5.8,25.6,346,4,3.4682080924855487,0.193121387283237,1.3583815028901733,1.676300578034682
64dbaa4991,Mom's Beef Stew,http://www.food.com/recipe/moms-beef-stew-268869,518.5,142.0,15.9,6.2,0.0737,2.3436,66.1,9.9,11.6,30.4,319,8,4.984326018808778,0.7346708463949844,1.9435736677115987,3.6363636363636362
64dbaeb375,Queso Blanco Dip (White Cheese Dip),http://www.food.com/recipe/queso-blanco-dip-white-cheese-dip-473609,250.0,162.0,18.1,11.3,0.0475,0.8373999999999999,7.4,0.2,1.3,14.7,92,8,19.67391304347826,0.9102173913043478,12.282608695652176,1.4130434782608696
64dbbd87ec,Swiss Steak on the Italian Side,http://www.food.com/recipe/swiss-steak-on-the-italian-side-24260,422.5,225.0,25.1,8.0,0.112,1.266,14.0,2.2,3.5,34.0,282,6,8.900709219858156,0.448936170212766,2.8368794326241136,1.2411347517730498
64dbc74e11,Roast Goose With Baked Apple,http://www.food.com/recipe/roast-goose-with-baked-apple-402838,1127.2,553.0,61.5,19.8,0.2328,0.8681,72.0,7.7,31.3,69.5,447,6,13.758389261744966,0.19420581655480984,4.429530201342282,7.002237136465325
64dbd47714,Absolut Passion,http://www.food.com/recipe/absolut-passion-261160,65.5,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,598,1,0.0,5.0167224080267555e-05,0.0,0.0
64dc0d6e95,Cherry Cheesecake Trifle Ala Laurie Sanders,http://www.food.com/recipe/cherry-cheesecake-trifle-ala-laurie-sanders-465671,173.1,89.0,9.9,8.3,0.0,0.0783,21.5,1.2,20.0,1.2,71,6,13.943661971830986,0.11028169014084506,11.690140845070424,28.169014084507044
64dc43ae6e,Dripping Springs Pecan Pie,http://www.food.com/recipe/dripping-springs-pecan-pie-439279,616.8,253.0,28.2,6.7,0.1159,0.6069,89.0,2.7,48.1,6.5,146,6,19.315068493150683,0.41568493150684926,4.589041095890411,32.945205479452056
64dc486687,Fresh Herbed Dip,http://www.food.com/recipe/fresh-herbed-dip-235207,37.9,33.0,3.7,2.3,0.0077,0.10640000000000001,0.8,0.0,0.0,0.6,41,12,9.02439024390244,0.2595121951219513,5.609756097560975,0.0
64dc6835cd,"Tomato, Mint and Cucumber Salsa",http://www.food.com/recipe/tomato-mint-and-cucumber-salsa-482772,35.3,2.0,0.3,0.1,0.0,0.3049,7.9,1.7,3.2,1.6,1433,1,0.0209351011863224,0.021277041172365667,0.006978367062107467,0.22330774598743894
64dc760ccb,Blueberry Baked French Toast,http://www.food.com/recipe/blueberry-baked-french-toast-106858,662.6,231.0,25.7,13.7,0.26439999999999997,0.622,94.7,3.5,57.9,13.3,277,8,9.277978339350181,0.22454873646209383,4.945848375451263,20.902527075812273
64dc93fd85,Low fat noodle Kugel,http://www.food.com/recipe/low-fat-noodle-kugel-53102,359.2,52.0,5.8,1.1,0.0329,0.228,69.1,1.7,37.2,9.0,156,12,3.717948717948718,0.14615384615384616,0.7051282051282052,23.846153846153847
64dcc360a6,Brunch Baked Eggs,http://www.food.com/recipe/brunch-baked-eggs-140206,394.9,268.0,29.8,15.0,0.4918,0.8465,3.3,0.0,1.0,27.3,211,8,14.123222748815166,0.40118483412322276,7.109004739336493,0.47393364928909953
64dd01dfec,Grocery Bars,http://www.food.com/recipe/grocery-bars-382216,718.9,268.0,29.8,4.8,0.10579999999999999,0.154,100.1,9.8,45.7,21.2,230,6,12.956521739130435,0.06695652173913043,2.0869565217391304,19.869565217391305
64dd1ab445,Favorite Layer Bars,http://www.food.com/recipe/favorite-layer-bars-402618,116.9,69.0,7.8,3.2,0.0128,0.085,11.5,0.7,8.7,1.6,965,1,0.8082901554404144,0.008808290155440416,0.3316062176165803,0.9015544041450777
64dd1adf8e,S'mores Delight,http://www.food.com/recipe/smores-delight-247836,400.7,142.0,15.8,6.8,0.0,0.3554,63.0,1.6,39.5,3.9,81,12,19.506172839506174,0.43876543209876545,8.395061728395062,48.76543209876543
64dd1fdf90,Seafood on a Cracker (Appetizers),http://www.food.com/recipe/seafood-on-a-cracker-appetizers-441326,123.9,36.0,4.1,0.8,0.06620000000000001,0.41919999999999996,8.6,0.3,1.4,12.6,80,8,5.125,0.524,1.0,1.7499999999999998
64dd3bbc99,Green Spring Salad,http://www.food.com/recipe/green-spring-salad-418908,94.6,49.0,5.5,0.8,0.0,0.1699,10.3,4.2,3.0,4.0,192,8,2.864583333333333,0.08848958333333333,0.4166666666666667,1.5625
64dd5c99c7,Wild Rice Stuffing,http://www.food.com/recipe/wild-rice-stuffing-302591,62.4,54.0,6.0,3.7,0.0152,0.1906,1.2,0.2,0.6,1.1,149,8,4.026845637583892,0.1279194630872483,2.4832214765100673,0.40268456375838924
64dd770683,Deliciously Easy Toffee-Nut Bars,http://www.food.com/recipe/deliciously-easy-toffee-nut-bars-343518,133.9,76.0,8.4,4.1,0.016,0.046299999999999994,14.1,0.5,8.4,1.1,27,36,31.11111111111111,0.17148148148148146,15.185185185185185,31.11111111111111
64dd813eca,Vegan Marinated Tofu Wraps W/Chipotle Mayo,http://www.food.com/recipe/vegan-marinated-tofu-wraps-w-chipotle-mayo-245364,300.0,94.0,10.6,1.7,0.0048,1.9377,39.5,3.4,5.6,15.2,425,6,2.4941176470588236,0.4559294117647059,0.4,1.3176470588235294
64dd963c78,"Red, White and Orange Salad",http://www.food.com/recipe/red-white-and-orange-salad-71639,248.1,28.0,3.2,1.6,0.0073,0.1414,41.2,12.2,8.9,15.6,200,6,1.6,0.0707,0.8,4.45
64dd996a6c,Fast Tomatoes With Basil and Balsamic,http://www.food.com/recipe/fast-tomatoes-with-basil-and-balsamic-279369,13.7,1.0,0.1,0.0,0.0,0.0038,2.9,0.8,2.0,0.6,66,6,0.15151515151515152,0.005757575757575757,0.0,3.0303030303030303
